sample_name,neighbours_count,vertex_betweenness,time_s
37:22-07-2020:0,0,0.5,0.002227783203125
428:22-07-2020:0,29,0.0,0.0033080577850341797
872:30-05-2021:1,3,0.5,0.002227306365966797
404:27-10-2020:0,1,0.5,0.0023283958435058594
299:04-09-2020:0,1,0.5,0.002229452133178711
448:27-11-2020:0,42,0.0,0.004336118698120117
273:29-06-2020:0,28,0.0,0.0031092166900634766
401:16-11-2020:0,65,0.0,0.010591983795166016
950:27-03-2021:1,2,0.5,0.0022323131561279297
891:13-06-2021:1,2,0.5,0.0021970272064208984
352:08-06-2021:0,10,0.0,0.0022873878479003906
374:13-10-2020:0,10,0.5,0.0022809505462646484
604:09-06-2020:0,16,0.0,0.0024154186248779297
282:12-03-2020:0,22,0.0,0.002763509750366211
819+600,222,0.9999999999999999,0.15191054344177246
198:27-08-2020:0,41,0.0,0.0046825408935546875
587:17-05-2020:0,1,0.5,0.0023784637451171875
9:27-09-2020:0,2,0.5,0.002156972885131836
338:03-02-2021:0,13,0.0,0.0023686885833740234
868:31-03-2021:1,9,0.0,0.0023889541625976562
347:22-09-2020:0,13,0.0,0.002373933792114258
474:19-12-2020:0,6,0.5,0.0021820068359375
269:20-02-2021:0,21,0.0,0.0026535987854003906
885:05-02-2021:1,56,0.0,0.006466388702392578
231:06-10-2020:0,9,0.0,0.002254486083984375
101:21-05-2021:0,24,0.0,0.0028650760650634766
551:09-01-2021:0,8,0.0,0.002268552780151367
103:22-06-2021:0,3,0.5,0.0021238327026367188
333:08-05-2021:0,2,0.5,0.002138853073120117
909:01-06-2021:1,11,0.0,0.002293825149536133
370:31-10-2020:0,7,0.5,0.002234220504760742
772:14-05-2021:1,9,0.5,0.0025501251220703125
753:14-02-2021:1,65,0.0,0.012865304946899414
466:25-06-2020:0,2,0.5,0.0023894309997558594
959:10-05-2021:1,9,0.5,0.0023221969604492188
516:10-06-2021:0,9,0.0,0.002219676971435547
128:25-04-2021:0,47,0.0,0.005139350891113281
773:27-03-2021:1,1,0.5,0.002150297164916992
991:29-01-2021:1,18,0.0,0.002553701400756836
673:25-06-2021:0,7,0.0,0.0021581649780273438
302:28-04-2021:0,7,0.0,0.0022459030151367188
479:29-11-2020:0,11,0.0,0.0023047924041748047
3+730,161,1.0,0.06757950782775879
14:22-09-2020:0,11,0.0,0.0027048587799072266
521:04-08-2020:0,10,0.5,0.002335071563720703
274:22-06-2021:0,3,0.5,0.002162933349609375
226:29-07-2020:0,10,0.5,0.002263784408569336
44:18-03-2021:0,1,0.5,0.0021440982818603516
579:29-03-2021:0,9,0.5,0.002245664596557617
776:08-06-2021:1,2,0.5,0.0021338462829589844
171:11-05-2020:0,0,0.5,0.0021162033081054688
437:26-10-2020:0,17,0.0,0.0025169849395751953
241:26-08-2020:0,24,0.0,0.002825498580932617
200:04-02-2021:0,21,0.0,0.002667665481567383
848:20-02-2021:1,65,0.0,0.008435249328613281
680:12-12-2020:0,8,0.5,0.002318859100341797
268:12-12-2020:0,12,0.5,0.002306222915649414
294:02-02-2021:0,18,0.0,0.002620220184326172
425:12-07-2020:0,48,0.0,0.0051424503326416016
814:21-06-2021:1,3,0.0,0.0021500587463378906
628:10-10-2020:0,70,0.0,0.009628772735595703
700:28-10-2020:0,45,0.0,0.004720926284790039
875+813,19,0.7211247851537042,0.0026602745056152344
26:27-04-2021:0,21,0.0,0.0027196407318115234
63:05-06-2021:0,19,0.0,0.00255584716796875
253:28-04-2021:0,22,0.0,0.0027227401733398438
786:31-01-2021:1,27,0.0,0.003047943115234375
197:16-11-2020:0,52,0.0,0.007946491241455078
675:03-06-2020:0,50,0.0,0.005491971969604492
901:13-04-2021:1,2,0.5,0.0021829605102539062
203:26-03-2021:0,4,0.0,0.00217437744140625
257:21-06-2020:0,11,0.5,0.0022890567779541016
443:05-08-2020:0,40,0.0,0.004183292388916016
25:06-07-2020:0,41,0.0,0.004410505294799805
983:05-06-2021:1,9,0.0,0.0022330284118652344
323:05-07-2020:0,48,0.0,0.005858898162841797
538:30-06-2021:0,11,0.0,0.00234222412109375
877:12-05-2021:1,31,0.0,0.003282308578491211
683:27-03-2021:0,20,0.0,0.002710580825805664
523:28-12-2020:0,25,0.0,0.0028638839721679688
873:18-04-2021:1,1,0.5,0.002136707305908203
744:29-04-2020:0,5,0.5,0.002186298370361328
831:10-03-2021:1,17,0.0,0.002497434616088867
734:21-10-2020:0,74,0.0,0.011865854263305664
422:12-06-2021:0,11,0.0,0.0024480819702148438
467:11-12-2020:0,1,0.5,0.002229928970336914
960+315,179,1.0,0.09290814399719238
924:22-03-2021:1,9,0.0,0.0026619434356689453
647:25-06-2021:0,13,0.0,0.002411365509033203
